ID,Year,Image,Description,
4438,1850,1850_0.jpg,"<p><strong>Ferdinand Schumacher</strong> fonde la German Mills American Cereal Company à Akron, en Ohio. À la même époque, John Stuart fonde la North Star Mills Company au Canada.</p>",2015-12-23 9:09:33
4439,1877,1877_0.jpg,<p>La marque Quaker dépose la toute première marque de commerce pour des céréales auprès du U.S. Patent Office. Celle-ci est décrite comme « l’image d’un homme vêtu d’un costume Quaker ». Les anciens propriétaires Henry Seymour et William Heston affirment avoir choisi le nom Quaker comme un symbole de bonne qualité et de valeurs honnêtes.</p>,2015-12-23 9:10:33
4440,1881,Hency C_About us.jpg,"<p><strong>Henry Parsons Crowell</strong> achète le moulin Quaker alors tombé en faillite et situé à Ravenna, en Ohio, ainsi que son actif le plus important, la marque Quaker.</p>",2015-12-23 9:11:09
4441,1882,1882_0.jpg,<p>Crowell lance la toute première campagne de publicité nationale de céréales publiée dans un magazine.</p>,2015-12-23 9:11:29
4442,1890,1890_0.jpg,"<p>L’American Cereal Company fait voyager un train transportant de l’avoine Quaker de Cedar Rapids, en Iowa, à Portland, en Oregon, et distribue les premiers échantillons de format « essai ». Des échantillons de ½ once de gruau Quaker sont distribués dans toutes les boîtes aux lettres de la ville de Portland, en Oregon.</p>",2015-12-23 9:11:54
4443,1891,1891_0.jpg,<p>Deux autres premières : 1) la marque Quaker introduit l’idée des primes-cadeaux dans les emballages en insérant de la vaisselle de porcelaine dans des boîtes de gruau; 2) Quaker devient la première marque à publier une recette sur l’emballage de son produit (une recette de pain au gruau).</p>,2015-12-23 9:12:19
4444,1902,1902_0.jpg,"<p>La principale usine de production canadienne du gruau Quaker est située à Peterborough, en Ontario, sur le bord de la rivière Otonabee.</p>",2015-12-23 9:15:30
4445,1908,1908_0.jpg,<p>Les biscuits d’avoine deviennent les premiers biscuits à l’avoine à figurer sur l’emballage de gruau Quaker®.</p>,2015-12-23 9:15:53
4446,1915,1915_0.jpg,<p>Le célèbre emballage cylindrique du gruau Quaker® est lancé.</p>,2015-12-23 9:16:15
4447,1922,1922_0.jpg,"<p>Quaker présente le gruau rapide Quaker, un des premiers produits de consommation courante.</p>",2015-12-23 9:16:39
4448,1961,1961_0.jpg,<p>La saveur originale des céréales Life® est offerte sur le marché.</p>,2015-12-23 9:17:01
4449,1966,1966_0.jpg,<p>Le gruau instantané Quaker® est lancé sur le marché.</p>,2015-12-23 9:17:22
4450,1970,1970_0.jpg,"<p>Lancement du gruau instantané aromatisé : la saveur érable et cassonade est distribuée à l’échelle nationale et la saveur dattes et cassonade, à l’échelle régionale.</p>",2015-12-23 9:17:46
4451,1981,1981_0.jpg,<p>Quaker offre au monde ses barres tendres Quaker Chewy®.</p>,2015-12-23 9:18:09
4452,1987,1987_0.jpg,"<p>L’acteur Wilford Brimley est la vedette de la campagne publicitaire « The Right Thing to Do », qui sera à l’antenne pendant plus de cinq ans.</p>",2015-12-23 9:18:30
4453,1995,1995_0.jpg,<p>La marque Quaker® présente une pétition liée à la santé cardiaque à la U.S. Food and Drug Administration (FDA).</p>,2015-12-23 9:19:13
4454,1996,1996_0.jpg,<p>La FDA propose une première allégation en matière de santé pour un aliment précis : du gruau pour la santé du cœur.</p>,2015-12-23 9:19:33
4455,1997,1997_0.jpg,"<p>La FDA approuve la toute première allégation santé portant sur le gruau. Cette nouvelle allégation relative à la santé cardiovasculaire figure sur les emballages de gruau Quaker® qui répondent aux critères d’admissibilité. Elle se lit comme suit : « Les fibres d’avoine solubles, consommées dans le cadre d’un régime faible en gras saturés et en cholestérol, peuvent réduire les risques de maladie du cœur. »</p>",2015-12-23 9:19:58
4456,2007,2007_0.jpg,<p>La marque Quaker® célèbre son 130e anniversaire.</p>,2015-12-23 9:20:22
4457,2012,2012_0.jpg,"<p>Le célèbre monsieur Quaker (affectueusement surnommé Larry) subit une métamorphose subtile qui comprend une remise en forme basée sur une alimentation saine et la pratique d'activités physiques, l'ajustement de sa célèbre coiffe et un teint plus radieux obtenu grâce à des masques quotidiens à l'avoine.</p>",2015-12-23 9:20:44
