ID,Name,Description,Image,Recipes
6676,Les favoris de l’automne ,Tombez en amour avec ces délicieuses recettes simples inspirées de l’automne. ,recipe_hd_pumpkin-tortilla-scoops_1.jpg,"[5223] Balais de sorcière au fromage
[5228] Scoops!® à la citrouille
[5139] Brie au sirop d'érable, cuit au four
[5205] Trempette au féta, aux dattes et au miel
[5234] Bouchées au poulet et à la salsa à la mangue
[5215] Tuiles de caramel salé et de chocolat
"
5340,Entre filles,"Des heures à rattraper le temps perdu, ça creuse l'appétit!",recipe_french_2_hd_roasted-eggplant-dip_0.jpg,"[5208] Bouchées de brie trois façons
[5209] Salade aux tomates cerises fraîches et à l’avocat en coupes
[5212] Tartelettes sucrées à la ricotta aux baies fraîches
[5202] Bouchées au saumon et au fromage
[5201] Bouchées à la salade aux œufs
[5195] Trempette grecque étagée
[5196] Mini Huevos Rancheros
[5198] Trempette à l’aubergine rôtie
[5200] Pico de Gallo au melon
[5214] Tiramisu en coupes Scoops!®
[5230] Scoops!® au poulet et à la mangue
[5235] Boule de fromage « porc-épic »
[5239] Salsa de haricots mélangés à la mangue et à l'avocat
[5227] Rouleaux au prosciutto et aux abricots
[5217] Nachos au poulet Buffalo
[5218] Salsa Garnie
[5219] Explosion choco-bacon
[5222] Nachos style sushis californiens
[5153] Salsa piquante
[5154] Trempette forte à l'oignon et au parmesan
[5155] Trempette aux tomates séchées et aux poivrons rouges rôtis
[5156] Salsa aux épinards
[5159] Bouchées de Brie sauce canneberges
[5152] Trempette aux épinards pour les tout-petits
[5140] Trempette au fromage et aux poivrons rouges rôtis
[5163] Nachos végétariens savoureux
[5164] Scoops!® César
[5165] Trempette jardinière façon gaspacho
[5179] Salade mexicaine
[5184] Trempette épicée au yogourt et au concombre
[5185] Salsa tomate et avocat
[5186] Trempette pur délice végé
[5188] Trempette blanche à l'ail
[5176] Bouchées au fromage de chèvre et fines herbes
[5166] Tostitos® Scoops!® au fromage bleu
[5171] Bouchées de brie aux pacanes
[5173] Salsa aux pois chiches
[5157] Salade de fruits onctueuse à la cannelle
[5158] Salsa froide au melon
"
5341,Barbecues dans la cour,Manger dehors à son meilleur,recipe_french_hd_california-sushi-nachos_0.jpg,"[5206] Bouchées de tacos au poisson
[5207] Salsa estivale à la mangue et flocons de saumon
[5210] Scoops!® aux légumes sautés
[5211] Mini-pizzas Tostitos® Rondes
[5213] Taboulé en coupes Scoops!®
[5200] Pico de Gallo au melon
[5232] Nachos au cheeseburger
[5234] Bouchées au poulet et à la salsa à la mangue
[5236] Nachos steak et fromage à la mode Philadelphie
[5237] Nachos fraîcheur à la grecque
[5238] Salade de crevettes et mangue
[5217] Nachos au poulet Buffalo
[5218] Salsa Garnie
[5222] Nachos style sushis californiens
[5240] Trempette au saumon fumé
[5153] Salsa piquante
[5186] Trempette pur délice végé
[5188] Trempette blanche à l'ail
[5176] Bouchées au fromage de chèvre et fines herbes
[5166] Tostitos® Scoops!® au fromage bleu
[5171] Bouchées de brie aux pacanes
[5173] Salsa aux pois chiches
[5193] Nachos hawaïens cuits au four
"
5342,Pour faire la fête,Des recettes parfaites pour célébrer.,recipe_french_hd_holiday-sweet-potato-nachos_0.jpg,"[5190] Mini tostadas au poulet effiloché
[5191] Salade asiatique en coupes Scoops!®
[5194] Bruschetta aux poivrons rouges et pesto
[5199] Trempette au bœuf style Queso Fundido
[5215] Tuiles de caramel salé et de chocolat
[5216] Trempette au gouda, aux champignons et à la bière
[5229] Nachos à la courge et à l’érable
[5228] Scoops!® à la citrouille
[5224] Nachos des Fêtes aux patates douces
[5153] Salsa piquante
[5154] Trempette forte à l'oignon et au parmesan
[5156] Salsa aux épinards
[5159] Bouchées de Brie sauce canneberges
[5160] Scoops!® à l'avocat et aux canneberges
[5152] Trempette aux épinards pour les tout-petits
[5151] Trempette jardinière à la lime
[5150] Salsa au piment chipotle
[5149] Salsa aux haricots noirs, avocat et lime
[5179] Salade mexicaine
[5180] Guacamole à la grenade
[5183] Trempette salsa et bacon 
[5184] Trempette épicée au yogourt et au concombre
[5185] Salsa tomate et avocat
[5187] Bouchées d'omelette de l'ouest
[5167] Artichauts au gratin
[5168] Scoops!® Multigrain à l'avocat et aux tomates cerise
[5169] Roulés de jambon avec salsa cuits au four
[5174] Trempette croquante
[5157] Salade de fruits onctueuse à la cannelle
[5158] Salsa froide au melon
"
5343,Dignes du week-end!,Parfaites pour les congés!,recipe_french_hd_asian-salad-scoops_0.jpg,"[5190] Mini tostadas au poulet effiloché
[5206] Bouchées de tacos au poisson
[5207] Salsa estivale à la mangue et flocons de saumon
[5208] Bouchées de brie trois façons
[5212] Tartelettes sucrées à la ricotta aux baies fraîches
[5202] Bouchées au saumon et au fromage
[5201] Bouchées à la salade aux œufs
[5191] Salade asiatique en coupes Scoops!®
[5196] Mini Huevos Rancheros
[5197] Lasagne-nachos
[5199] Trempette au bœuf style Queso Fundido
[5216] Trempette au gouda, aux champignons et à la bière
[5231] Soirée tacos en bouchées
[5233] Sandwich à l’œuf frit et à la salsa Tostitos®
[5234] Bouchées au poulet et à la salsa à la mangue
[5238] Salade de crevettes et mangue
[5229] Nachos à la courge et à l’érable
[5218] Salsa Garnie
[5219] Explosion choco-bacon
[5222] Nachos style sushis californiens
[5223] Balais de sorcière au fromage
[5225] Nachos à l’italienne
[5240] Trempette au saumon fumé
[5161] Fromage épicé au bœuf haché
[5141] Nachos au fromage et au chili
[5145] Boulettes de bœuf et mozzarella
[5182] Sloppy joes à la salsa
[5183] Trempette salsa et bacon 
[5186] Trempette pur délice végé
[5187] Bouchées d'omelette de l'ouest
[5188] Trempette blanche à l'ail
[5178] Trempette au poulet à l'italienne
[5177] Trempette au feta et fines herbes
[5169] Roulés de jambon avec salsa cuits au four
[5170] Trempette fromage bleu et ciboulette
[5174] Trempette croquante
[5991] Nachos de fajitas au poulet
[5193] Nachos hawaïens cuits au four
"
5345,Un petit goût sucré,Optez pour une collation sucrée. ,recipe_french_hd_dessert-nachos_0.jpg,"[5205] Trempette au féta, aux dattes et au miel
[5212] Tartelettes sucrées à la ricotta aux baies fraîches
[5192] Nachos-dessert
[5214] Tiramisu en coupes Scoops!®
[5215] Tuiles de caramel salé et de chocolat
[5239] Salsa de haricots mélangés à la mangue et à l'avocat
[5228] Scoops!® à la citrouille
[5219] Explosion choco-bacon
[5220] Bouchées de fromage grillé fantaisie
[5224] Nachos des Fêtes aux patates douces
[5139] Brie au sirop d'érable, cuit au four
[5181] Bouchées gourmandes 
[5172] Drôles de bestioles
[5175] Bouchées au yogourt glacé
"
5346,Au jeu,Au jeu! Gagnez avec ces recettes!,recipe_french_hd_beef-queso-fundido-dip_0.jpg,"[5190] Mini tostadas au poulet effiloché
[5211] Mini-pizzas Tostitos® Rondes
[5191] Salade asiatique en coupes Scoops!®
[5197] Lasagne-nachos
[5199] Trempette au bœuf style Queso Fundido
[5216] Trempette au gouda, aux champignons et à la bière
[5231] Soirée tacos en bouchées
[5232] Nachos au cheeseburger
[5233] Sandwich à l’œuf frit et à la salsa Tostitos®
[5236] Nachos steak et fromage à la mode Philadelphie
[5237] Nachos fraîcheur à la grecque
[5221] Thon crousti-fondant
[5223] Balais de sorcière au fromage
[5225] Nachos à l’italienne
[5226] Nachos style poutine
[5161] Fromage épicé au bœuf haché
[5151] Trempette jardinière à la lime
[5150] Salsa au piment chipotle
[5141] Nachos au fromage et au chili
[5145] Boulettes de bœuf et mozzarella
[5149] Salsa aux haricots noirs, avocat et lime
[5180] Guacamole à la grenade
[5182] Sloppy joes à la salsa
[5183] Trempette salsa et bacon 
[5187] Bouchées d'omelette de l'ouest
[5178] Trempette au poulet à l'italienne
[5177] Trempette au feta et fines herbes
[5168] Scoops!® Multigrain à l'avocat et aux tomates cerise
[5169] Roulés de jambon avec salsa cuits au four
[5189] Nachos festifs au chorizo et au fromage manchego
[5991] Nachos de fajitas au poulet
"
5347,Une collation en famille,Passez du temps de qualité en famille en savourant ces populaires collations sucrées-salées. ,recipe_hd_smore-bites_1_1.jpg,"[5204] Casserole d’haricots et de chou frisé au fromage
[5205] Trempette au féta, aux dattes et au miel
[5211] Mini-pizzas Tostitos® Rondes
[5192] Nachos-dessert
[5194] Bruschetta aux poivrons rouges et pesto
[5217] Nachos au poulet Buffalo
[5220] Bouchées de fromage grillé fantaisie
[5139] Brie au sirop d'érable, cuit au four
[5154] Trempette forte à l'oignon et au parmesan
[5155] Trempette aux tomates séchées et aux poivrons rouges rôtis
[5162] Trempette étagée aux haricot frits
[5140] Trempette au fromage et aux poivrons rouges rôtis
[5142] Trempette aux amandes et fromage suisse
[5143] Trempette taco con queso
[5144] Fricassée de brocolis aux œufs
[5146] Bouchées à la mozzarella de buffle
[5147] Trempette savoureuse aux haricots
[5148] Nachos aux haricots noirs
[5163] Nachos végétariens savoureux
[5164] Scoops!® César
[5165] Trempette jardinière façon gaspacho
[5181] Bouchées gourmandes 
[5170] Trempette fromage bleu et ciboulette
[5172] Drôles de bestioles
[5175] Bouchées au yogourt glacé
[5189] Nachos festifs au chorizo et au fromage manchego
[5199] Trempette au bœuf style Queso Fundido
[5204] Casserole d’haricots et de chou frisé au fromage
[5210] Scoops!® aux légumes sautés
[5213] Taboulé en coupes Scoops!®
[5192] Nachos-dessert
[5220] Bouchées de fromage grillé fantaisie
[5221] Thon crousti-fondant
[5161] Fromage épicé au bœuf haché
[5162] Trempette étagée aux haricot frits
[5143] Trempette taco con queso
[5145] Boulettes de bœuf et mozzarella
[5147] Trempette savoureuse aux haricots
[5148] Nachos aux haricots noirs
[5180] Guacamole à la grenade
[5177] Trempette au feta et fines herbes
[5168] Scoops!® Multigrain à l'avocat et aux tomates cerise
[5172] Drôles de bestioles
[5175] Bouchées au yogourt glacé
[5189] Nachos festifs au chorizo et au fromage manchego
"
5348,"Des nachos, que des nachos!",Garnissez-les! Des recettes de nachos que vous dévorerez,CheeseburgerNachos.jpg.resized_2.jpg,"[5204] Casserole d’haricots et de chou frisé au fromage
[5197] Lasagne-nachos
[5230] Scoops!® au poulet et à la mangue
[5231] Soirée tacos en bouchées
[5232] Nachos au cheeseburger
[5236] Nachos steak et fromage à la mode Philadelphie
[5237] Nachos fraîcheur à la grecque
[5228] Scoops!® à la citrouille
[5223] Balais de sorcière au fromage
[5224] Nachos des Fêtes aux patates douces
[5225] Nachos à l’italienne
[5226] Nachos style poutine
[5162] Trempette étagée aux haricot frits
[5141] Nachos au fromage et au chili
[5143] Trempette taco con queso
[5147] Trempette savoureuse aux haricots
[5148] Nachos aux haricots noirs
[5182] Sloppy joes à la salsa
[5178] Trempette au poulet à l'italienne
[5991] Nachos de fajitas au poulet
"
5349,Impressionner les invités,Ils resteront des heures à grignoter ces excellentes collations.,recipe_french_hd_tabbouleh-scoops_0.jpg,"[5207] Salsa estivale à la mangue et flocons de saumon
[5209] Salade aux tomates cerises fraîches et à l’avocat en coupes
[5210] Scoops!® aux légumes sautés
[5213] Taboulé en coupes Scoops!®
[5202] Bouchées au saumon et au fromage
[5194] Bruschetta aux poivrons rouges et pesto
[5195] Trempette grecque étagée
[5196] Mini Huevos Rancheros
[5198] Trempette à l’aubergine rôtie
[5200] Pico de Gallo au melon
[5214] Tiramisu en coupes Scoops!®
[5215] Tuiles de caramel salé et de chocolat
[5230] Scoops!® au poulet et à la mangue
[5235] Boule de fromage « porc-épic »
[5239] Salsa de haricots mélangés à la mangue et à l'avocat
[5229] Nachos à la courge et à l’érable
[5227] Rouleaux au prosciutto et aux abricots
[5226] Nachos style poutine
[5156] Salsa aux épinards
[5159] Bouchées de Brie sauce canneberges
[5160] Scoops!® à l'avocat et aux canneberges
[5152] Trempette aux épinards pour les tout-petits
[5151] Trempette jardinière à la lime
[5150] Salsa au piment chipotle
[5142] Trempette aux amandes et fromage suisse
[5144] Fricassée de brocolis aux œufs
[5146] Bouchées à la mozzarella de buffle
[5149] Salsa aux haricots noirs, avocat et lime
[5163] Nachos végétariens savoureux
[5164] Scoops!® César
[5165] Trempette jardinière façon gaspacho
[5179] Salade mexicaine
[5184] Trempette épicée au yogourt et au concombre
[5185] Salsa tomate et avocat
[5176] Bouchées au fromage de chèvre et fines herbes
[5166] Tostitos® Scoops!® au fromage bleu
[5167] Artichauts au gratin
[5170] Trempette fromage bleu et ciboulette
[5171] Bouchées de brie aux pacanes
[5173] Salsa aux pois chiches
[5174] Trempette croquante
[5157] Salade de fruits onctueuse à la cannelle
[5158] Salsa froide au melon
[5193] Nachos hawaïens cuits au four
"
